Inventory ID,Title,Person responsible,Others involved,Required work,Target completion date,Program to follow-up with (SH/BCCH program responsible),External,Author(s) (or name of org. if no author),Date created,"Date of last update (©related to website that is linked, not necessarily the resource)",Link,Date Link Checked,Target Audience,File Format,Master Tag (Level 1),Level 2A,Level 3A,Level 4A,Level 2B,Level 3B,Level 4B,Level 2C,Level 3C,Level 4C,Description,Health condition,Area of Focus,Keywords (see tags tab for information),Learning Event?  (Y/N),Corresponding clinician/parent resource,Sibling resources e.g. next steps,Notes,Person recommending,Age,Location
54,Assessment of Learning Powered Mobility Use (ALP) 2.0,Debbie,,,,"Assistive Technology Team, Positioning Mobility Team",Internal – Evidence Centre,Lisbeth Nilsson & Josephine Durkin,Tool 2014,,see Ax Info Card spreadsheet for associated links,May 28-21,"clinicians, researchers",Ax Toolkit Entry,Assessment,Learn About Assessments,Assessment Toolkit,,,,,,,,"assesses process of learning tool use for power mobility.  Describes 8 Phases of learning, divided into three stages. Two related versions available: the original one for learning powered mobility use and a second ALP (Assessment of Learning Process) for AAC (Augmentative and Alternative Communication).","Cerebral palsy , Brain injury, concussion, Autism spectrum disorder, Language delay, communication disorder , Developmental delay , Spinal cord injury, spina bifida, Neuromuscular, genetic and rare conditions, Hearing and vision loss","Hand, arm use, printing, Positioning, mobility, lower body, Thinking, cognition, Vision, hearing, touch, other senses, Behaviour, emotion, social skills, Behaviour, emotion, social skills, Assistive technology, Learning, education, Play, recreation, physical activity","wheelchair, training, skill progression, attention, learning process, development, occupational therapy, wheelchair driving, power mobility, behaviour; ",N,N,,"Current SeatingandMobility.ca topic/webpage: Power Mobility Assessment:We don’t have permission to post downloaded pdf online, need to remove pdf of orginal assessment and modify link to developer's website https://www.lisbethnilsson.se/en/alp-tool/  ",Debbie,All,
55,Alternate Positioning Information Sheet,Debbie,,SHHC branding needed; review content for BC funding changes,,Positioning and Mobility Team,Internal,"Positioning Mobility Team- Jennifer Law, OT",2021,,document currently located in\CDR Redesign 2019\3_Clinician Portal\3_Content by Clinical Program\6_Neuromotor Content\PMT&ATT Content\documents from PMT\Alternate Positioning.pdf,June 23-21,"Families, Caregivers, Clinicians",Non-fillable PDF,Making Treatment Choices,"Learn About Treatment, Care and Activities","Function, Activity and 'How To' Resources",,,,,,,,"Handout describing alternative positioning, what it is, why its important, and funding considerations for families in British Columbia","Cerebral palsy , Brain injury, concussion, Developmental delay , Spinal cord injury, spina bifida, Neuromuscular, genetic and rare conditions","Positioning, mobility, lower body, Assistive technology, Bone, muscle, skin health, Sleep","equipment, postural support, beds and mattresses, chairs, sitting, lying, standing, posture, seating, assistive device",N,N,,,Debbie,All,BC
56,An A-Z of Postural Care from Kent University (Booklet and Questionnaire),Debbie,,content needs to be reviewed indepth- 2012 resource but still looks to be relevant (lay persons guide to basic seating concepts & self assessment),,Positioning and Mobility Team,External,Kent University,2012,,https://www.kent.ac.uk/chss/news/archive/items/2012_08_17_postural_care.html,May 31-21,"families, caregivers, educators, clinicians","webpage, pdf",,,,,,,,,,,"Booklet and questionnaire designed for Teaching Assistants, Children, Young People, Parents introducing concepts related to postural control ",those that encompass restricted body movement or other disabilities,"postural control, assistive device use, mobility, sitting","wheelchair; mobility; equipment,  prescription; provision, postural supports, seating, sitting posture, standing posture, lying posture",N,,,Clinical Resources Posture,Debbie,,
57,An Introduction to Cerebral Visual Impairment,Claire,,,,,External,Professor Gordon Dutton (Scottish Sensory Centre),,,http://www.ssc.education.ed.ac.uk/courses/vi&multi/vsep15a.html,"September 7, 2021","clinicians, educators",web link,,,,,,,,,,,"Professor Gordon Dutton, editor and co-author of the new book 'Vision and the Brain' by AFB Press, introduces us to cerebral visual impairment. The webinar explores: what is vision?, how does the brain see? what is it that limits vision if the brain is damaged?, and why is it essential to make sure that everything that is presented can be perceived and understood?",visual impairment,,"cerebral visual impairment, video, presentation, assessment, visual pathways, visual field, processing, dorsal stream, ventral stream, vertical reading, hemi-attention, processing simultaneous information, recognising faces, seeing static or moving objects, dorsal stream, ventral stream, parts of the brain, vision, CVI, tools, strategies, children with dorsal and ventral stream dysfunction, visual stimulation, eye gaze technology",Y,,,,Jen E.,All,
58,An Introduction to Measurement in Rehabilitation Practice,Stephanie  ,,Check link and currency,,,External,,,,https://www.sralab.org/rehabmeasures-educational-resources,,,,,,,,,,,,,,"Series of videos that outline how to select outcome measures, understand their properties, KT strategies,  and more! For Rehab professionals",,,,,,,,,,
59,Anxiety Canada,Claire,,,,,External,Anxiety Canada,,,https://anxietycanada.com/about-us/,"July 29, 2021","children/youth, families, caregivers, clinicians, educators",Web link,,,,,,,,,,,General information and resources on anxiety,anxiety ,mental health,"online directory, online courses, anxiety tool, diagnostic/health condition-specific resources",N,,,,Elizabeth M. ,All,Canada-Wide
60,Anxiety in Children,Claire,,,,Complex Developmental Behavioural Conditions ,External,Anxiety Canada,,,https://www.anxietycanada.com/learn-about-anxiety/anxiety-in-children/,"September 7, 2021","children/youth, families, caregivers, clinicians, educators",web link,,,,,,,,,,,Information about anxiety in children,anxiety ,mental health,"common anxiety disorders, body focused repetitive behaviours, generalized anxiety disorder, health anxiety, hoarding disorder, pediatric autoimmune neuropsychiatric disorder, pediatric acute-onset neuropsychiatric syndrome, obsessive compulsive disorder, panic disorder, agoraphobia, post traumatic stress disorder, selective mutism, separation anxiety, social anxiety, specific phobia,  information about health conditions/clinical features, diagnostic/health condition-specific resources",N,,,,,All,Canada-Wide
61,Anxiety in Youth,Claire,,,,Complex Developmental Behavioural Conditions ,External,Anxiety Canada,,,https://www.anxietycanada.com/learn-about-anxiety/anxiety-in-youth/,"September 7, 2021","children/youth, families, caregivers, clinicians, educators",web link,,,,,,,,,,,Information and resources for youth with anxiety,anxiety ,mental health,"anxiety 101, facing fears, thinking right, how to chill, healthy habits, common problems, family and youth support and groups, information about health conditions/clinical features, diagnostic/health condition-specific resources",N,,,,Pam H.,"Youth, All",Canada-Wide
62,Appetite to Play ,Claire,,,,,External,Appetite to Play,,,https://appetitetoplay.com/,"August 5, 2021","families, caregivers, clinicians, educators",web link,,,,,,,,,,,Appetite to play supports early years providers to promote and encourage physical activity and healthy eating,varied,"Nutrition, exercise","step-by-step assessment tool for early years providers, why food and physical literacy matters, e-learning module on health eating, e-learning module on physical literacy, food, recommended practices, intoduction to healthy eating recommended practices, intorduction to physical activity recommended practices, developing and implementing a healthy eating policy, developing and implementing a physical activity policy, supporting brain development, online resources related to COVID-19, early introduction to allergens, physical activity, healthy eating, planning tools, training, self-assessment tool, activity planner, meal planner, food/physical activity in-person workshopm food/physical activity online workshop, outside/risky play online workshop, healthy eating e-learning module, physical literacy e-learning module, early years, nutrition, exercise, movement",Y,N,N,,Theresa,All,BC
63,Apraxia-Kids,Claire,,,,,External,Apraxia Kids,,© 2021,https://www.apraxia-kids.org,"August 4, 2021","families, caregivers, clinicians, teachers",web link,,,,,,,,,,,"Resource for finding a speech therapist, learn about apraxia, and tools for raising awareness",speech apraxia,speech,"speech therapist, webinars, brochures, printables, awareness, support groups, education ",Y,,,,,,Universal
64,Art Without Limits: Cerebral Palsy Association of British Columbia,Claire,,,,,External,Cerebral Palsy Association of British Columbia,,,https://www.bccerebralpalsy.com/programs/art-without-limits/,"September 13, 2021","families, caregivers, clinicians, children/youth",web link,,,,,,,,,,,Art without limits is a free program dedicated to children and youth with disabilities to provide them with the opportunity to express themselves through various therapeutic artistic mediums.,various disabilities,,"expressive arts, children, youth, free, inclusive, program, inclusive program, explore creativity, creativity, socializing, drop-in, family members, caregivers, west vancouver, program inquiry, registration, art",N,N,N,,Kim/ Amber P./Danielle B./Louise W. ,All,"West Vancouver, BC"
65,Artists Helping Artists,Claire,,,,,External,Artists Helping Artists,,,https://www.facebook.com/Ahaburnaby/; https://www.instagram.com/ahaburnaby/ ,"August 17, 2021","families, caregivers, clinicians, Children/Youth",Web link,,,,,,,,,,,"An art studio collective in Burnaby where individuals of all abilities and skill levels are encouraged to come together to make art of all kinds. They provide studio space, affordable materials, and the opportunity to pursue art.",,,"art, collective, program, studio, create",N,N,N,,Amber P./Danielle B.,"School Age, Youth",BC
67,Arts Resources: ConnecTra,Claire,,,,,External,ConnecTra Society,,,Arts Resources - ConnecTra Society,"September 29, 2021","families, caregivers, clinicians, Children/Youth",Web link,,,,,,,,,,,Information about arts resources ,no specific diagnosis,,"arts, resources, theatre, music, audio description program",N,,,,Kim,All,Canada-Wide
68,Arts: findSupport BC,Claire,,,,,External,,,,https://findsupportbc.com/,,,,,,,,,,,,,,,,,,,,,,Kim,,
68,Community Inclusion: findSupport BC,Claire,,,,,External,,,,https://findsupportbc.com/,,,,,,,,,,,,,,,,,,,,,,Kim,,
68,Leisure: findSupport BC,Claire,,,,,External,,,,https://findsupportbc.com/,,,,,,,,,,,,,,,,,,,,,,Kim,,
68,Recreation: findSupport BC,Claire,,,,,External,,,,https://findsupportbc.com/,,,,,,,,,,,,,,,,,,,,,,Kim,,
68,Sports: findSupport BC,Claire,,,,,External,,,,https://findsupportbc.com/,,,,,,,,,,,,,,,,,,,,,,Kim,,
69,Asante Centre,Claire,,,,,External,The Asante Centre,,,https://www.asantecentre.org/,"August 18, 2021","families, caregivers, clinicians, children/youth",web link,,,,,,,,,,,"Through expanding health and social services like assessment, therapy, and community strengthening, the Asante Centre has over 20 years of experience making the world a better place for people with Fetal Alcohol Spectrum Disorder (FASD) and other developmental diversities",Fetal Alcohol Spectrum Disorder (FASD),,"programs, services, assessment, diagnosis, peer mentorship, consultation, speech-language therapy, education, resources, FASD, Fetal Alcohol Spectrum Disorder, Youth Probation (YR) Fetal Alcohol Spectrum Disorder program, FASD, community training",N,N,N,,Mandy Y. ,All,BC
70,ASL Nook,Maddy,,,,Hearing Loss,External,ASL Nook,© 2017,,https://aslnook.com/,29-Nov-21,"families, caregivers, children/youth",web link,"Services, Supports & Community Resources",Age and Healthcare Transitions,Preschool to School,,,,,,,,"Videos where a family teaches sign language in a  fun, casual way",hearing impairment,,"deaf, hearing impairment, sign language, videos, family",N,,,,,,Universal
