"Only applicable to the Digital Team, Claire, Steph and Kim - Legend for rows 2 and 3: X = internal use only, ID = internal use AND column to be included in database created by the Digital Lab, E = external",,,,,,,,,"Allows us to identify objects that are duplicated in the database, and link Digital Lab-generated ID#s to the objects in this spreadsheet",These are the titles of the objects; can include terms in search filter; include on blade,This column lets us know what work needs to be done for the object to be web-ready ,"Part of algorthim prompting updates to content, so the appropriate person is alerted/contacted",Use for algorithm to prompt updates to objects. These would be back-up people to support updates,"only relevant when the object is not yet web-ready, or needs revisions (does not need to be part of database). ",internal use to allow us to track progress on updates to make objects web-ready,For new or not yet updated content: ,Include in algorithm to prompt updates so we know where to go  (i.e. the program is responsible for maintaining the object),Info to include on blade,Info to include on blade,Exclude from search terms; Content - include on blade,Exclude from search term; Content - include on blade,Exclude from search terms; Include on blade to allow users to access the external resource,For algorithm to prompt us to update object for currency,Primary toggle/filter,Advanced search/filter,,For internal use so the person uploading the resource knows what type of file format to save it in or look for to upload,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Content to include on blade; exclude from search terms,Filter,Filter,Search terms,Filter,Toggle for audience (clinician vs. family),Recommended for you' tag (algorithm for proposing new resources for the user to explore),For internal use in the database.,Used within algorithm to prompt updates to objects - directs us to the relevant content expert,Filter,This information can populate a field on the 'blades' for each object,This is the order of resources as of 2021Sep9. Delete this when it's not needed anymore,Thumbnail images for each object for users to see when browsing,Content - object 'rating' based on accessibility characteristics. Rating levels TBD. Could be on the blades or could be an icon on the thumbnail view (advise as to which is best approach),"Exclude from search terms; filter, could be part of advanced search; can include as info on blade",
June 23-21,,,created in 2008 but much of content still relevant; should be updated,,,,,,31,Access Flow Chart, need to review; brand as SHHC document,Debbie,,"review content, brand as SHHC document & id authors (Roslyn L. , Nicole Wilkins, Kathie Marina, OTs)",,,,Sunny Hill Health Centre,"Roslyn L. , Nicole Wilkins, Kathie Marina, OTs)",2008,,www.seatingandmobility.ca/Libraries/Pdfs/2008Access_flow_chart.sflb.ashx,May 31-21,clinicians,"OT, PT, HCP students",link to pdf,pdf,Intervention,,,,,,,,,,Intervention,Flowchart for determining most suitable access method for power mobility,individuals using power wheelchairs,"wheelchair use,  mobility, hand use, motor control","power wheelchair; mobility; equipment; access method, input,  prescription; training;",N,,,Power Mobility Assessment,Debbie,,N/A,1118,,,all,
June 23-21,,,,,,,,,32,accessFind,web-ready,Debbie,,,,,,External,,,,https://accessibe.com/blog/news/introducing-accessfind-search-engine,June 18-21,"families, caregivers, educators, clinicians",,website/search engine,weblinks  ,Community Supports & Services,,,,,,,,,,Community Supports & Services,"Search engine designed for only accessible websites, to better meet the needs of those with disabilities",all,"internet searching, inclusion","disability, accessibility, inclusion, ",N,,,,Debbie,,Universal,300,,,,
Vetting completed to criteria objectivity/conflict of interest,,,unknown,,,,,,33,Accessibility at YVR,Web-ready,Claire,N/A,,,,,"External, YVR",YVR,,,https://www.yvr.ca/en/passengers/navigate-yvr/accessibility-at-yvr,"August 3, 2021","families, caregivers, children/youth, clinicians",All,Website/page,web link,Community supports & resources,,,,,,,,,,Community supports & resources,Information about accessibility at YVR,various disabilities,,"customer care, information, accessibility features, accessibility travel planning, accessible transportation, curbside assistance, getting to and from YVR, moving through the terminals, wheelchairs, Aira, washrooms, animal relief area, public telephones, paging, porter service, travel",N,N/A,N/A,,,All,Vancouver,75,,,N/A,
Vetting completed to objectivity/conflict of interest,,,Appears to be based on manual from 2014,,,,,,34,Accessible Braille Training,Web-ready,Maddy,N/A,,,,,"External, UEB Online",UEB Online,,,https://uebonline.org,9-Sep-21,"families, caregivers, clinicians, educators",All,Website/page,web link,Intervention,,,,,,,,,,Intervention,Free online training programs in braille literacy and mathematics,visual impairment,,"blind, visual impairment, braille, accessible, training, literacy, mathematics",Y,N/A,N/A,,Jen E.,All,N/A,1264,,,,
Vetting completed to criteria objectivity/conflict of interest,,,unknown,,,,,,35,Accessible parking ,Web-ready,Claire,N/A,,,,,"External, City of Vancouver",City of Vancouver,,,https://vancouver.ca/streets-transportation/accessible-parking.aspx,"August 3, 2021","families, caregivers, clinicians, educators",All,Website/page,web link,Community supports & resources,,,,,,,,,,Community supports & resources,Information about accessible parking ,various disabilities,,"designated disabled parking zones, accessible parking meter spots, SPARC permit, Queen Elizabeth Theatre, Vancouver Playhouse, report misuse, report a broken meter, travel",N,N/A,N/A,,Leslie L. ,All,Vancouver,72,,,N/A,
Vetting completed to criteria objectivity/conflict of interest,,,unknown,,,,,,36,AccessNow,,Claire,,,,,,"External, AccessNow",AccessNow,,,https://accessnow.com/about/,"August 9, 2021","families, caregivers, clinicians, children/youth",all,Website/page,web link,community supports & services,,,,,,,,,,community supports & services,"We are building a connected platform to empower all people to discover a world of accessible opportunities, make better decisions and remove barriers. Leveraging our intelligent technology, we are learning how accessible the world is and mapping as many places as we possibly can. ",various disabilities,,"map, review, pin, accessible, not accessible, discover accessible places, accessibility for all, inclusive places, welcoming places,  movement, search, rate, discover, restaurants, shops, trails, hotels, attractions, parks, AccessNow App, app, accessibility, worldwide community, MapMissions",N,N,N,,Steph,All,Universal,481,,,,
,,,,,,,,,37,Acute Rehabilitation: Sunny Hill Health Centre,Web-ready,Maddy,N/A,,,,,"Internal, Sunny Hill Health Centre",Sunny Hill Health Centre,,,http://www.bcchildrens.ca/our-services/sunny-hill-health-centre/our-services/acute-rehabilitation,4-Jun-21,"families, caregivers, clinicians",All,Website/page,web link,Intervention,,,,,,,,,,Intervention,"Specialized, intensive rehabilitation services for children with a range of disabilities",,,"acute rehabilitation, therapy, education support, postoperative care",N,N/A,N/A,,,,N/A,1252,,,,
Vetting completed to criteria objectivity/conflict of interest,,,unsure,,,,,,38,Adapted and Integrated Programs: City of Vancouver,,Claire,,,,,,City of Vancouver,City of Vancouver,,,https://vancouver.ca/parks-recreation-culture/adapted-and-integrated-programs.aspx,"September 10, 2021","families, caregivers, clinicians, children/youth",All,Community program,web link,"Services, Supports and Community Resources",,,,,,,,,,"Services, Supports and Community Resources","Information about adapted and integrated recreational activities for children, youth, adults, and seniors with disabilities offered by the Vancouver Park Board",no specific diagnosis,,"program, recreation, children, youth, adults, seniors, disabilities, activities, sports, aquatic facilities, aquatic programs, beaches, exercise classes, social and recreation activities, register",N,N/A,N/A,,Kim,All,BC,499,,,,
Folllw-up with Tanja when update completed,,,,,,,,,39,Adapted Soccer,,Tanja,Amber P./Andrea R.,Integrate evidence and update for currency,,,,,,,,,,,,,,Intervention,,,,,,,,,,Intervention,,,,,,,,,,,,,,,,
Folllw-up with Tanja when update completed,,,,,,,,,40,Adapted Yoga,,Tanja,Amber P./Andrea,Integrate evidence and update for currency,,,,,,,,,,,,,,Intervention,,,,,,,,,,Intervention,,,,,,,,,,,,,,,,
,,,,,,,,,41,ADHD Webinar Series for Parents and Caregivers ,Web-ready,Claire,N/A,,,,,"Internal, Kelty Mental Health Resource Centre, BC Children's Hospital","Kelty Mental Health Resource Centre, BC Children's Hospital",,January-March 2021,https://keltymentalhealth.ca/ADHDWebinarSeries,"May 24th, 2021","families, caregivers, clinicians",All,e-learning module/course,web link,"Learning opportunity, Intervention",,,,,,,,,,"Learning opportunity, Intervention",Webinar series and powerpoint slides (in pdf format) about ADHD,ADHD,,"webinar, powerpoint slides (in pdf format), self-regulation, tools, children, youth, treatment, parenting, school, COVID-19 ",Y,N/A,N/A,BC,,,N/A,1280,,,N/A,
,,,,,,,,,42,Adolescent/ Adult Sensory Profile ,,Lex,Tanja,,,Dec 2021,,Sunny Hill,Anosha,2021,,see Ax Info Card spreadsheet for associated links,"July 19, 2021","Clinicians, families, caregivers, individuals","OT, PT",Info Card,Ax Toolkit entry,"Assessment, Diagnosis & Monitoring",,,,,,,,,,"Assessment, Diagnosis & Monitoring","The Adolescent/Adult Sensory Profile is designed to measure sensory processing patterns and effects on functional performance. An individual answers questions regarding how he or she generally responds to sensations, as opposed to how he or she responds at any given time.",,,"motor, sensory, balance, development, measure, assess, taste, touch, smell, vision, adult, taste/smell processing, movement processing, visual processing, touch processing, activity level, auditory processing",N,N,N,,,"School Age, Youth",Not applicable,668,,,,
Vetting completed to criteria objectivity/conflict of interest,,,unknown,,,,,,43,Adult Employment Programs,Web-ready,Claire,N/A,,,,,"External, Pacific Autism Family Network",Pacific Autism Family Network,,©2021,https://pacificautismfamily.com/adult-employment-programs/,"July 27, 2021","families, caregivers, clinicians, youth",All,Website/page,web link,Community supports & resources,,,,,,,,,,Community supports & resources,Information related to employment programs,"autism, intellectual disabilities",,"experiential learning, pre-vocational, skills, food industry, custodial industry, landscaping industry, goal oriented",N,N/A,N/A,,,"Youth, School Age",Canada-Wide,41,,,N/A,
Vetting completed to criteria objectivity/conflict of interest,,,,,,,,,44,Adult Special Education,Web-ready,Maddy,,,,,,"External, Government of BC",Government of BC,,© 2021,https://www2.gov.bc.ca/gov/content/education-training/adult-education/adult-special-education,03-Aug-21,"families, caregivers, children/youth, clinicians, educators",All,Website/page,Web link,Community Supports and Services,,,,,,,,,,Community Supports and Services,List of institutions that offer adult special education programs in BC,,,"adult special education, post-secondary, university, college",N,N,N,,,Youth,BC,318,,,Introductory,
Vetting completed to criteria objectivity/conflict of interest,,,2016,,,,,,45,Adventures of a Stuttering Superhero,Web-ready,Maddy,N/A,,,,,"Internal, Family Support & Resource Centre",Family Support and Resource Centre,2016,,https://bcch.andornot.com/en/permalink/catalog119842,30-Aug-21,"families, caregivers, educators",All,Book,web link,Community Supports and Services,,,,,,,,,,Community Supports and Services,Children's book that talks about stuttering in a way that fosters empathy,,,"book, stuttering, children, speech",N,N/A,N/A,,SLPs book list,All,,252,,,,
Jun-15-21,,,,,,,,,46,Advocacy Fact Sheet: Representative for Children and Youth,Web-ready,Maddy,N/A,,,,,"External, Representative for Children and Youth",Representative for Children and Youth,,,https://rcybc.ca/wp-content/uploads/2019/06/advocacy_fact_sheet_-_final.pdf,Jun-15-21,"families, caregivers, children/youth",All,Fact Sheet,pdf,Community Supports and Services,,,,,,,,,,Community Supports and Services,"Support for children, youth, and young adults receiving government funded services to know their rights and advocate for their needs",,,"advocacy, children, youth, transition, special needs",N,N/A,N/A,,,,BC,283,,,,
Vetting completed to criteria objectivity/conflict of interest,,,unsure,,,,,,47,Affordable Childcare Benefit,Web-ready,Maddy,N/A,,,,,"External, Government of BC",Government of BC,,© 2021,https://www2.gov.bc.ca/gov/content/family-social-supports/caring-for-young-children/child-care-funding/child-care-benefit,26-Aug-21,"families, caregivers, clinicians",All,Website/page,web link,Community Supports and Services,,,,,,,,,,Community Supports and Services,"Information about the Affordable Child Care Benefit, a monthly payment to help eligible families with the cost of child care",,,"Affordable Child Care Benefit, financial support",N,N/A,N/A,,,All,BC,243,,,,
Ask Kim about ,,Sponsored by the Province of BC,,,,,,,48,Aged Out,,Claire,,,,,,"External, The Adoptive Families Association of BC",The Adoptive Families Association of BC,,,https://agedout.com/,"July 26, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,474,,,,
Follow-up re: relevance,,,,,,,,,49,Ages & Stages: American Academy of Pediatrics,Web-ready,Maddy,,,,,,,,,,https://www.healthychildren.org/english/ages-stages/pages/default.aspx,"September 7, 2021",,,,,Background,,,,,,,,,,Background,,,,,,,,,,,,595,,,,
Vetting completed to criteria objectivity/conflict of interest,,,unsure,,,,,,50,Aging Out of Foster Care,web ready,Claire,N/A,,,,,"External, Government of British Columbia",Government of British Columbia,,,https://www2.gov.bc.ca/gov/content/family-social-supports/youth-and-family-services/teens-in-foster-care/aging-out-of-care,"August 4, 2021","Children/youth, families, caregivers, clinicians, educators",All,Website/page,web link,Community supports & resource,,,,,,,,,,Community supports & resource,Information about leaving foster care,All,,"navigating the health care system, transition, education, health and wellness, finding a place to live, ID, Employment, money, personal life,  housing, child care, tuition, health care, school, rehabilitation program, young adults, phone, data plan, The Federation of BC Youth in Care Networks, government care",N,N/A,N/A,,,All,BC,130,,,N/A,
"June 22, 2021",,,,,,,,,51,Alberta Infant Motor Scale (AIMS) 2nd edition,Ready for upload,Tanja,Lex,N/A,,,,Sunny Hill,Claire,,,see Ax Info Card spreadsheet for associated links,28-Jul-21,Clinicians,"PT, OT",Info Card,Ax Toolkit entry,"Assessment, Diagnosis & Monitoring",,,,,,,,,,"Assessment, Diagnosis & Monitoring",Standardized measurement scale used to assess the gross motor abilities of infants,Various,gross motor development,"assessment, infants, gross motor skills, development, gross motor abilities, prone, supine, sitting, standing",N,N,AIMS E4P,,,,N/A,670,,,Advanced,
Vetting completed to criteria objectivity/conflict of interest. Follow-up re: should we include row for online courses (similar to workshops)?,,,unsure,,,,,,53,Alert Program,,Claire,,,,,,The Alert Program,The Alert Program,,,Self-Regulation Alert Program® Online | AOTA Approved Provider,"September 10, 2021","Clinicians, families, caregivers, educators",All,Website/page,web link,Intervention,,,,,,,,,,Intervention,"Our life's work is focused on helping folks, just like you, understand the importance of self-regulation in our day-to-day lives. When we all understand how to be alert, attentive, and focused, life is better for children, parents, caregivers, teachers, therapists, administrators, veterans, seniors, etc. In fact, everyone can benefit from the Alert Program® and we are here to make self-regulation easy!",No specific diagnosis,,"self-regulation, teachers, parents, therapists, children, teens, adult clients, adults, program, alert, focus, attention, concentration, concentrate, materials, resources, free, online courses",Y,N/A,N/A,,Michelle L. / Steph G.,All,,1353,,,,
