,,,,,,,,,"Allows us to identify objects that are duplicated in the database, and link Digital Lab-generated ID#s to the objects in this spreadsheet",These are the titles of the objects; can include terms in search filter; include on blade.,This column lets us know what work needs to be done for the object to be web-ready ,"Part of algorthim prompting updates to content, so the appropriate person is alerted/contacted",Use for algorithm to prompt updates to objects. These would be back-up people to support updates,"only relevant when the object is not yet web-ready, or needs revisions (does not need to be part of database). ",internal use to allow us to track progress on updates to make objects web-ready,For new or not yet updated content: ,Include in algorithm to prompt updates so we know where to go  (i.e. the program is responsible for maintaining the object),Info to include on blade,Info to include on blade,Exclude from search terms; For internal use only (no longer to appear on the blade),Exclude from search term; Content - include on blade,Exclude from search terms; Include on blade to allow users to access the external resource,For algorithm to prompt us to update object for currency,,"No longer using this tag, in order to simplify the user experience",This info appears on the blade but no longer being used as a filter in order to simplify the user experience,For internal use so the person uploading the resource knows what type of file format to save it in or look for to upload,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,For team to reference when tagging information hierarchy,Content to include on blade; exclude from search terms,Filter,Filter,Search terms,Filter,Toggle for audience (clinician vs. family),Recommended for you' tag (algorithm for proposing new resources for the user to explore),For internal use in the database.,Used within algorithm to prompt updates to objects - directs us to the relevant content expert,Filter,This information can populate a field on the 'blades' for each object,This is the order of resources as of 2021Sep9. Delete this when it's not needed anymore,Thumbnail images for each object for users to see when browsing,Content - object 'rating' based on accessibility characteristics. Rating levels TBD. Could be on the blades or could be an icon on the thumbnail view (advise as to which is best approach),"Exclude from search terms; filter, could be part of advanced search; can include as info on blade",
Vetting completed to criteria objectivity/conflict of interest,,,2021,,,,Y,Y,29,Access 2 Program,Web-ready,Tanja,N/A,Add,N/A,"June 23, 2021",,External,Easter Seals,?,2021,https://access2card.ca/participating-venues/,"February 16, 2022","Families/caregivers, Children/youth",All,Website,web link,"Services, Supports & Community Resources",Recreation and Leisure Activities,Arts and Cultural Programs,,,,,,,,Community supports and services,"The Access 2 card is for people of all ages and types of permanent disabilities who require the assistance of a support person at hundreds of participating entertainment, cultural and recreational venues across Canada.",All,"Play, recreation, physical activity","community support, access, funding, support worker, support person",N,N,N,,Bill M,All,Canada,462,,,Beginner,
June 23-21,,,,,,,Y,Y,30,Access Community Therapists Ltd Workshops (seating-related topics),web-ready,Debbie,,,,,Positioning and Mobility Team,External,Access Community Therapists Ltd,unknown,,https://www.accesstherapists.com/workshops,May 31-21,Clinicians,"OT, PT",website,web link,Assessment,Access Training on Assessments,"Webinars, Presentations, Blogs, and Podcasts",,Learn About Health Conditions,,,Learn About Assessments,Other Assessment Resources,,Assessment,Workshops available in BC for occupational therapists and physical therapists to learn specialized seating assessment and intervention strategies.,"Cerebral palsy , Brain injury, concussion, Developmental delay , Spinal cord injury, spina bifida, Neuromuscular, genetic and rare conditions","Positioning, mobility, lower body, Assistive technology","skin health, pressure injury, prevention, evaluation, seating, sitting posture, positioning, wheelchair, education, training",Y,N,N,,Debbie,All,BC,1108,,,"beginner, intermediate",
June 23-21,,,,,,,Y,Y,30,Access Community Therapists Ltd Workshops (seating-related topics),web-ready,Debbie,,,,,Positioning and Mobility Team,External,Access Community Therapists Ltd,unknown,,https://www.accesstherapists.com/workshops,May 31-21,Clinicians,"OT, PT",website,web link,Making Treatment Choices,Access Training on Treatment and Care,"Webinars, Presentations, Blogs, and Podcasts",,"Learn About Treatment, Care and Activities","Function, Activity and 'How To' Resources",,Learn About Health Conditions,,,Intervention,Workshops available in BC for occupational therapists and physical therapists to learn specialized seating assessment and intervention strategies.,"Cerebral palsy , Brain injury, concussion, Developmental delay , Spinal cord injury, spina bifida, Neuromuscular, genetic and rare conditions","Positioning, mobility, lower body, Assistive technology","skin health, pressure injury, prevention, treatment, seating, sitting posture, positioning, wheelchair, education, training",Y,N,N,,Debbie,All,BC,1108,,,"beginner, intermediate",
June 23-21,,,,,,,Y,Y,30,Access Community Therapists Ltd Workshops (dysphagia-related topics),web-ready,Debbie,,,,,Feeding Team,External,Access Community Therapists Ltd,unknown,,https://www.accesstherapists.com/workshops,May 31-21,Clinicians,"OT, PT, OT, SLP",website,web link,Assessment,Access Training on Assessments,"Webinars, Presentations, Blogs, and Podcasts",,Learn About Health Conditions,,,Learn About Assessments,Other Assessment Resources,,Assessment,Workshops available in BC for occupational therapists to learn specialized dysphagia assessment and intervention strategies.,"Cerebral palsy , Brain injury, concussion, Developmental delay , Neuromuscular, genetic and rare conditions","Swallowing, eating, drinking  ","oral motor, dysphagia, prevention, treatment, assessment, education, training, eating, drinking, swallowing, ",Y,N,N,,Debbie,School Age (5-19 years),BC,1109,,,"beginner, intermediate",
June 23-21,,,,,,,Y,Y,30,Access Community Therapists Ltd Workshops (dysphagia-related topics),web-ready,Debbie,,,,,Feeding Team,External,Access Community Therapists Ltd,unknown,,https://www.accesstherapists.com/workshops,May 31-21,Clinicians,"OT, PT, OT, SLP",website,web link,Making Treatment Choices,Access Training on Treatment and Care,"Webinars, Presentations, Blogs, and Podcasts",,"Learn About Treatment, Care and Activities","Function, Activity and 'How To' Resources",,Learn About Health Conditions,,,Intervention,Workshops available in BC for occupational therapists to learn specialized dysphagia assessment and intervention strategies.,"Cerebral palsy , Brain injury, concussion, Developmental delay , Neuromuscular, genetic and rare conditions","Swallowing, eating, drinking  ","oral motor, dysphagia, prevention, treatment, assessment, education, training, eating, drinking, swallowing, ",Y,N,N,,Debbie,School Age (5-19 years),BC,1109,,,"beginner, intermediate",
June 23-21,,,created in 2008 but much of content still relevant; should be updated,,,,Y,N,31,Access Methods Determination Flow Chart,Needs updating,Debbie,,"review content, brand as SHHC document & id authors (Roslyn Livingstone, Nicole Wilkins, Kathie Marina)",,,Assistive Technology Team,Internal,"Roslyn Livingstone, Nicole Wilkins, Kathie Marina, (ATT OTs)",2008,,www.seatingandmobility.ca/Libraries/Pdfs/2008Access_flow_chart.sflb.ashx,May 31-21,clinicians,"OT, PT, HCP students",Handout,Non-fillable PDF,Assessment,Learn About Assessments,Other Assessment Resources,,,,,,,,Assessment,"Flowchart outlining process for determining most suitable access method for power mobility (i.e. what body sites and movements are most suitable for operating a power wheelchair). A similar process may be useful for determining access for other technologies such as communication (AAC), learning, play or environmental control.  ","Cerebral palsy , Brain injury, concussion, Developmental delay , Spinal cord injury, spina bifida, Neuromuscular, genetic and rare conditions","Assistive technology, Hand, arm use, printing","power wheelchair, power mobility, access method, input device, control, evaluation, decision-making, hand use, access assessment, assistive device",N,N,N/A,Power Mobility Assessment,Debbie,All,BC,1117,,,all,
June 23-21,,,created in 2008 but much of content still relevant; should be updated,,,,Y,N,31,Access Methods Determination Flow Chart,Needs updating,Debbie,,"review content, brand as SHHC document & id authors (Roslyn Livingstone, Nicole Wilkins, Kathie Marina, OTs)",,,Assistive Technology Team,Internal,"Roslyn Livingstone , Nicole Wilkins, Kathie Marina",2008,,www.seatingandmobility.ca/Libraries/Pdfs/2008Access_flow_chart.sflb.ashx,May 31-21,clinicians,"OT, PT, HCP students",Handout,Non-fillable PDF,Making Treatment Choices,"Learn About Treatment, Care and Activities","Function, Activity and 'How To' Resources",,,,,,,,Intervention,"Flowchart outlining process for determining most suitable access method for power mobility (i.e. what body sites and movements are most suitable for operating a power wheelchair). A similar process may be useful for determining access for other technologies such as communication (AAC), learning, play or environmental control.  ","Cerebral palsy , Brain injury, concussion, Developmental delay , Spinal cord injury, spina bifida, Neuromuscular, genetic and rare conditions","Assistive technology, Hand, arm use, printing","power wheelchair, power mobility, access method, input device, control, decision-making, hand use, assistive device,  prescription, training",N,N,N/A, need to review; brand as SHHC document; was part of Seatingandmobility.ca Power Mobility Assessment,Debbie,All,BC,1118,,,all,
June 23-21,,,,,,,Y,Y,32,accessFind,web-ready,Debbie,,,,,,External,accessiBe,,,https://accessibe.com/blog/news/introducing-accessfind-search-engine,June 18-21,"families, caregivers, educators, clinicians",,Website,web link,"Services, Supports & Community Resources",,,,,,,,,,Community Supports & Services,"world's first search engine designed for only accessible websites, to better meet the needs of those with disabilities",all,All,"disability, accessibility, inclusion, internet, searching, web accessibility, search engine, compliance, web content",N,N,N/A,,Debbie,All,North America,300,,,,
Vetting completed to criteria objectivity/conflict of interest,,,unknown,,,,,,33,Accessibility at YVR,Web-ready,Claire,N/A,,,,,External,YVR,,,https://www.yvr.ca/en/passengers/navigate-yvr/accessibility-at-yvr,"August 3, 2021","families, caregivers, children/youth, clinicians",All,Website/page,web link,,,,,,,,,,,Community supports & resources,Information about accessibility at YVR,various disabilities,,"customer care, information, accessibility features, accessibility travel planning, accessible transportation, curbside assistance, getting to and from YVR, moving through the terminals, wheelchairs, Aira, washrooms, animal relief area, public telephones, paging, porter service, travel",N,N/A,N/A,,,All,Vancouver,75,,,N/A,
Vetting completed to objectivity/conflict of interest,,,Appears to be based on manual from 2014,,,,Y,,34,Accessible Braille Training,Web-ready,Maddy,N/A,,,,,External,UEB Online,,,https://uebonline.org,24-Nov-21,"families, caregivers, clinicians, educators",All,Website,web link,"Services, Supports & Community Resources",Find Care and Support Services in BC,School Supports,,,,,,,,Intervention,Free online training programs in braille literacy and mathematics,visual impairment,,"blind, visual impairment, braille, accessible, training, literacy, mathematics",Y,N/A,N/A,,Jen E.,All,N/A,1264,,,,
Vetting completed to criteria objectivity/conflict of interest,,,unknown,,,,,,35,Accessible parking ,Web-ready,Claire,N/A,,,,,External,City of Vancouver,,,https://vancouver.ca/streets-transportation/accessible-parking.aspx,"August 3, 2021","families, caregivers, clinicians, educators",All,Website/page,web link,,,,,,,,,,,Community supports & resources,Information about accessible parking ,various disabilities,,"designated disabled parking zones, accessible parking meter spots, SPARC permit, Queen Elizabeth Theatre, Vancouver Playhouse, report misuse, report a broken meter, travel",N,N/A,N/A,,Leslie L. ,All,Vancouver,72,,,N/A,
31 May 2022,,,,,,,Y,Y,36,AccessNow,Web-ready,Claire/salina,,,,,,External,AccessNow,,2022,https://accessnow.com/about/,"May 31, 2022","families, caregivers, clinicians, children/youth",all,Website,web link,Get Involved,Other Events and Information,,,,,,,,,community supports & services,"We are building a connected platform to empower all people to discover a world of accessible opportunities, make better decisions and remove barriers. Leveraging our intelligent technology, we are learning how accessible the world is and mapping as many places as we possibly can. ",All,,accessibility map; restaurants; hotels; shops; attractions; trails; parks; get involved; app;,N,N,N,,Steph,All,Universal,481,,,,
,,,,,,,Y,,37,Acute Rehabilitation: Sunny Hill Health Centre,Web-ready,Maddy,N/A,,,,,Internal,Sunny Hill Health Centre,,,http://www.bcchildrens.ca/our-services/sunny-hill-health-centre/our-services/acute-rehabilitation,24-Nov-21,"families, caregivers, clinicians",All,Website/page,web link,"Services, Supports & Community Resources",Find Care and Support Services in BC,Assessment and Treatment Services,BC Children's Hospital and Sunny Hill Health Centre Services,,,,,,,Intervention,"Specialized, intensive rehabilitation services for children with a range of disabilities",,,"acute rehabilitation, therapy, education support, postoperative care",N,N/A,N/A,,,,N/A,1252,,,,
31 May 2022,,,,,,,Y,Y,38,Adapted and Integrated Programs: City of Vancouver,Web-ready,Claire/salina,,,,,,External,City of Vancouver,,2022,https://vancouver.ca/parks-recreation-culture/adapted-and-integrated-programs.aspx,"May 31, 2022","families, caregivers, clinicians, children/youth",All,Website,web link,"Services, Supports & Community Resources",Recreation and Leisure Activities,Physical Activity,,,,,,,,"Services, Supports and Community Resources","Information about adapted and integrated recreational activities for children, youth, adults, and seniors with disabilities offered by the Vancouver Park Board",All,,"program, recreation, children, youth, adults, seniors, disabilities, activities, sports, aquatic facilities, aquatic programs, beaches, exercise classes, social and recreation activities, register",N,N/A,N/A,,Kim,All,BC,499,,,,
,,,,,,,,,39,Adapted Soccer,,Tanja,Amber P./Andrea R.,Integrate evidence and update for currency,,,Therapeutic Recreation,Internal,,,,,,,,,,,,,,,,,,,,Intervention,,,,,,,,,,,,,,,,
